,examples,hypotheses,references
215," On the west side of the Naktong , North Korean Major General Pak Kyo Sam , commanding the NK 9th Division , issued his operations order to the division on August 28 . Its mission in the forthcoming attack was to outflank and destroy the US troops at Naktong Bulge by capturing the Miryang and Samnangjin areas to cut off the US 2nd Division 's route of supply and withdrawal between Taegu and Pusan . However , the North Koreans weren 't aware that the US 2nd Infantry Division had recently replaced the US 24th Infantry Division in positions along the Naktong River . Consequently , they expected lighter resistance ; the 24th troops were exhausted from months of fighting but the 2nd Division men were fresh and newly arrived in Korea . They had only recently been moved into the line . The North Koreans began crossing the Naktong River under cover of darkness at certain points . 
","Koreans were unable to do so because of a lack of ammunition . The division was forced to withdraw from the area by the end of August , and the battle continued for several days . On September 1 , US forces launched a surprise attack on North Korea , but it was repelled by US artillery fire . In the ensuing battle , both sides were able to hold their ground for a short period of time . During the next few days , Kim Jong Un ordered his forces to advance on the city of Pukchang , which was under the control of US and South Korean forces .","[""Koreans weren 't aware that the US 2nd Infantry Division had recently replaced the US 24th Infantry Division in positions along the Naktong River . Consequently , they expected lighter resistance ; the 24th troops were exhausted from months of fighting but the 2nd Division men were fresh and newly arrived in Korea . They had only recently been moved into the line . The North Koreans began crossing the Naktong River under cover of darkness at certain points .""]"
216," = = = Battle of Agok = = = 
",of the Bulge,['of Agok = = =']
217," On the southern @-@ most flank of the 9th Infantry river line , just above the junction of the Nam River with the Naktong , A Company of the 1st Battalion was dug in on a long finger ridge paralleling the Naktong that terminates in Hill 94 at the Kihang ferry site . The river road from Namji @-@ ri running west along the Naktong passes the southern tip of this ridge and crosses to the west side of the river at the ferry . A small village called Agok lay at the base of Hill 94 and 300 yards ( 270 m ) from the river . A patrol of tanks and armored vehicles , together with two infantry squads of A Company , 9th Infantry , held a roadblock near the ferry and close to Agok . On the evening of August 31 , A Company moved from its ridge positions overlooking Agok and the river to new positions along the river below the ridge line . 
","station . At the same time , the 2nd Battalion dug a trench in the middle of that trench , which led to a shallow ditch on the right side . This trench was filled with sand and gravel , and was covered with a thick layer of sandstone . A platoon of Company A and Company B were sent out to dig the trench and found that there was no sand in it . They then dug another trench at a depth of about 1 ,000 feet , but this time the sand was so thick that they could not find any sand at all . As a result , they were forced to leave the area and return to their original position .","['. A small village called Agok lay at the base of Hill 94 and 300 yards ( 270 m ) from the river . A patrol of tanks and armored vehicles , together with two infantry squads of A Company , 9th Infantry , held a roadblock near the ferry and close to Agok . On the evening of August 31 , A Company moved from its ridge positions overlooking Agok and the river to new positions along the river below the ridge line .']"
218," That evening Sergeant Ernest R. Kouma led the patrol of two M26 Pershing tanks and two M19 Gun Motor Carriages in Agok . Kouma placed his patrol on the west side of Agok near the Kihang ferry . At 20 : 00 a heavy fog covered the river , and at 22 : 00 mortar shells began falling on the American @-@ held side of the river . By 22 : 15 this strike intensified and North Korean mortar preparation struck A Company 's positions . American mortars and artillery began firing counterbattery . Some of the A Company men reported they heard noises on the opposite side of the river and splashes in the water . 
","from the north and south sides of the bridge . The bridge was closed for several hours , but by the time the tanks arrived at the ferry they were already on their way back to the mainland . On the morning of March 21 , the M18 Persson tank was hit by a mortar shell from a nearby village . It was the first time that a tank had been hit in the area since the start of hostilities . By the end of that day , there were no casualties .","[""on the American @-@ held side of the river . By 22 : 15 this strike intensified and North Korean mortar preparation struck A Company 's positions . American mortars and artillery began firing counterbattery . Some of the A Company men reported they heard noises on the opposite side of the river and splashes in the water .""]"
219," At 22 : 30 the fog lifted and Kouma saw that a North Korean pontoon bridge was being laid across the river directly in front of his position . Kouma 's four vehicles attacked this structure , and after about a minute of heavy fire the bridge collapsed , and the ponton boats used to hold the bridge in place were sunk . At 23 : 00 a small arms fight flared around the left side of A Company north of the tanks . This gunfire had lasted only two or three minutes when the A Company roadblock squads near the tanks received word by field telephone that the company was withdrawing to the original ridge positions and that they should do likewise . 
",". The North Koreans continued to fire on the South Koreans , who were able to break through the North's defenses , but the Americans were unable to dislodge them from the area . After the battle , the U.S. and South Korean navies continued their patrols in the vicinity of the sunken bridge . On the morning of 23 : 25 , a South Korea destroyer was sunk by North Korea , while an American destroyer and a destroyer belonging to the Korean People's Liberation Army (KPA) were also sunk , as well as two American destroyers , one of which was destroyed .",['. At 23 : 00 a small arms fight flared around the left side of A Company north of the tanks . This gunfire had lasted only two or three minutes when the A Company roadblock squads near the tanks received word by field telephone that the company was withdrawing to the original ridge positions and that they should do likewise .']
220," Kouma 's patrol was then ambushed by a group of North Koreans dressed in US military uniforms . Kouma was wounded and the other three vehicles had to withdraw , but he held the Agok site until 07 : 30 the next morning with his single tank . In the attack against A Company , the North Koreans hit the 1st Platoon , which was near Agok , but they did not find the 2nd Platoon northward . 
","00 , when he was rescued by the South Korean army . The South Koreans then launched a surprise attack on the North Korean forces , killing several of them . After the attack , South Korea announced that it would withdraw its forces from the area .","['30 the next morning with his single tank . In the attack against A Company , the North Koreans hit the 1st Platoon , which was near Agok , but they did not find the 2nd Platoon northward .']"
221," The NK 9th Division 's infantry crossing of the Naktong and attack on its east side near midnight quickly overran the positions of C Company , north of A Company . There the North Koreans assaulted in force , signaled by green flares and blowing of whistles . The company held its positions only a short time and then attempted to escape . Many of the men moved south , a few of them coming into A Company 's ridge line positions near Agok during the night . Most of C Company moved all the way to the 25th Division positions south of the Naktong . On September 1 that division reported that 110 men of C Company had come into its lines . 
","from the advancing North Korean forces . However , the company was unable to do so and was forced to retreat to the south , where it was attacked again by the South Korean Army . North Korea retaliated by launching a series of counterattacks , including a counterattack on the left flank , which resulted in the capture of a number of positions on both sides . On the other side , South Korea and the United States launched a coordinated offensive against the enemy forces , with the U.S. and South Koreans taking the brunt of their attacks .","["". Many of the men moved south , a few of them coming into A Company 's ridge line positions near Agok during the night . Most of C Company moved all the way to the 25th Division positions south of the Naktong . On September 1 that division reported that 110 men of C Company had come into its lines .""]"
222," = = = North Korean crossing = = = 
",American and Caribbean islands,['Korean crossing = = =']
223," Meanwhile , 5 miles ( 8 @.@ 0 km ) north of Agok and A Company 's position , B Company , 9th Infantry , held a similar position on Hill 209 overlooking the Paekchin ferry crossing of the river . This ferry was located at the middle of the Naktong Bulge where the Yongsan road came down to the Naktong and crossed it . The US 2nd Infantry Division had planned a reconnaissance mission to start from there the night of August 31 , the same night that the NK I Corps offensive rolled across the river . 
","a river that runs through the area . The bridge was built in the late 19th century , and was used by the British Army to transport troops to and from the front lines . During the Second World War , the bridge had been used to ferry troops and supplies across the Danube , but it was abandoned in 1945 .","['the Naktong Bulge where the Yongsan road came down to the Naktong and crossed it . The US 2nd Infantry Division had planned a reconnaissance mission to start from there the night of August 31 , the same night that the NK I Corps offensive rolled across the river .']"
224," Near the end of the month two reconnaissance patrols from the 9th Infantry had crossed to the west side of the Naktong and observed North Korean tank and troop activity 2 miles ( 3 @.@ 2 km ) west of the river . Information obtained later indicated it was in fact the command post of the NK 9th Division . On August 25 , 9th Infantry commander Colonel John G. Hill outlined projected "" Operation Manchu , "" which was to be a company @-@ sized combat patrol to cross the river , advance to the suspected North Korean command post and communications center , destroy it , capture prisoners , and collect intelligence . 
","VD , and that the North Koreans were using the area as a staging area for their military operations . The patrols continued westward until they reached the border with South Korea , where they were joined by a small detachment of South Korean troops . North Korea continued to fire on the patrols until it reached a point where it could no longer defend itself against the South Koreans . On the morning of August 6 , the patrol was attacked by two enemy tanks , one of which was hit by an anti-tank shell .","['9th Division . On August 25 , 9th Infantry commander Colonel John G. Hill outlined projected "" Operation Manchu , "" which was to be a company @-@ sized combat patrol to cross the river , advance to the suspected North Korean command post and communications center , destroy it , capture prisoners , and collect intelligence .']"
225," The 9th Infantry Regiment had planned Task Force Manchu on orders from the 2nd Division commander Major General Laurence B. Keiser , which in turn had received instructions from Eighth United States Army commander Lieutenant General Walton Walker for aggressive patrolling . Keiser decided the patrol should cross the river at the Paekchin ferry . The 9th Infantry reserve , E Company , reinforced with one section of light machine guns from H Company , was to be the attack force . The 1st Platoon , 2nd Engineer Combat Battalion , was to transport it across the river in assault boats the night of August 31 . Two heavy weapons companies , D and H , were each to furnish one section of heavy machine guns , one section of 81 @-@ mm. mortars , and one section of 75 @-@ mm. recoilless rifles for supporting fires . A platoon of 4 @.@ 2 @-@ inch mortars was also to give support . 
","for the day . On the morning of the 10th , the regiment was attacked by a small group of enemy machine gunners , who were forced to retreat to a position on the bank of a river near the ferry , where they were ambushed by the enemy . After a brief skirmish , they managed to escape with only minor casualties , but the remainder of their men were killed . In the afternoon , a large number of American troops were sent to reinforce the assault force , and the 1st Battalion , 4th Cavalry , had been ordered to withdraw to the south .","['. The 1st Platoon , 2nd Engineer Combat Battalion , was to transport it across the river in assault boats the night of August 31 . Two heavy weapons companies , D and H , were each to furnish one section of heavy machine guns , one section of 81 @-@ mm. mortars , and one section of 75 @-@ mm. recoilless rifles for supporting fires . A platoon of 4 @.@ 2 @-@ inch mortars was also to give support .']"
226," After dark on August 31 , First Lieutenant Charles I. Caldwell of D Company and First Lieutenant Edward Schmitt of H Company , 9th Infantry , moved their men and weapons to the base of Hill 209 , which was within B Company 's defense sector and overlooked the Paekchin ferry crossing of the Naktong River . The raiding force , E Company , was still in its regimental reserve position about 2 miles ( 3 @.@ 2 km ) west of Yongsan , getting ready with the engineer platoon to move to the crossing site . Colonel Hill went forward in the evening with the 4 @.@ 2 @-@ inch mortar platoon to its position at the base of Hill 209 where the mortarmen prepared to set up their weapons . 
","in the area at the time , and was under the command of Capt. John W. Smith , who had been assigned to guard the crossing . Smith was relieved of his command on September 1 , after which he was promoted to Lieutenant Colonel . On September 2 , he returned to his post as a platoon commander . In the morning of September 3 , Smith and his platoon were attacked by a small group of enemy troops . They were forced to retreat and were captured by the enemy .","['in its regimental reserve position about 2 miles ( 3 @.@ 2 km ) west of Yongsan , getting ready with the engineer platoon to move to the crossing site . Colonel Hill went forward in the evening with the 4 @.@ 2 @-@ inch mortar platoon to its position at the base of Hill 209 where the mortarmen prepared to set up their weapons .']"
227," By 21 : 00 , the closest front line unit was B Company on top of Hill 209 , 1 mile ( 1 @.@ 6 km ) north of the river road which curved around the hill 's southern base . The regimental chaplain , Captain Lewis B. Sheen , had gone forward in the afternoon to B Company to hold services . On top of Hill 209 , Chaplain Sheen and men in B Company after dark heard splashing in the water below them . They soon discovered a long line of North Korean soldiers wading the river . 
","was stationed at the rear of this unit and was assigned to guard the front lines . He was the only officer in the unit who was not a member of a platoon , and he had no combat experience . Sheen was a veteran of World War I and had served in France and Germany during the war . During his service , he was awarded the Medal of Honor for valor and bravery in combat .","['had gone forward in the afternoon to B Company to hold services . On top of Hill 209 , Chaplain Sheen and men in B Company after dark heard splashing in the water below them . They soon discovered a long line of North Korean soldiers wading the river .']"
228," The first North Korean crossing at the Paekchin ferry caught the Heavy Mortar Platoon unprepared in the act of setting up its weapons . It also caught most of the D and H Company men at the base of Hill 209 , .5 miles ( 0 @.@ 80 km ) from the crossing site . The North Koreans killed or captured many of the troops there . Hill was there , but escaped to the rear just before midnight , together with several others , when the division canceled Operation Manchu because of the attacks . The first heavy weapons carrying party was on its way up the hill when the North Korean attack engulfed the men below . It hurried on to the top where the advance group waited and there all hastily dug in on a small perimeter . This group was not attacked during the night . 
","south , where it was captured by the U.S. Army . North Korea has been accused of using the ferry as a launching pad for ballistic missiles , which it says are capable of reaching the continental United States . In the 1950s and 1960s , South Korea conducted a series of intercontinental ballistic missile (ICBM) tests , including one that was launched from a submarine off the coast of Japan . During the Korean War , the South Korean navy launched two ICBMs , one of which was intercepted by an American submarine .","['rear just before midnight , together with several others , when the division canceled Operation Manchu because of the attacks . The first heavy weapons carrying party was on its way up the hill when the North Korean attack engulfed the men below . It hurried on to the top where the advance group waited and there all hastily dug in on a small perimeter . This group was not attacked during the night .']"
229," From 21 : 30 until shortly after midnight the NK 9th Division crossed the Naktong at a number of places and climbed the hills quietly toward the 9th Infantry river line positions . Then , when the artillery barrage preparation lifted , the North Korean infantry were in position to launch their assaults . These began in the northern part of the regimental sector and quickly spread southward . At each crossing site the North Koreans would overwhelm local UN defenders before building pontoon bridges for their vehicles and armor . 
","artillery moved to the right flank of the division . The division moved into position on the left flank , where it was attacked by the South Korean and Japanese forces . After a short period of time , both sides were forced to retreat to a position in the middle of a hill overlooking the river .",['infantry were in position to launch their assaults . These began in the northern part of the regimental sector and quickly spread southward . At each crossing site the North Koreans would overwhelm local UN defenders before building pontoon bridges for their vehicles and armor .']
230," At 02 : 00 , B Company was attacked . A truck stopped at the bottom of the hill , a whistle sounded , then came a shouted order , and North Korean soldiers started climbing the slope . The hills on both sides of B Company were already under attack as was also Hill 311 , a rugged terrain feature a 1 @.@ 5 miles ( 2 @.@ 4 km ) from the river and the North Koreans ' principal immediate objective . The North Koreans apparently were not aware of the Task Force Manchu group lower down on the hill and it was not attacked during the night . But higher up on Hill 209 the North Koreans drove B Company from its position , inflicting very heavy casualties on it . Sheen led one group of soldiers back to friendly lines on 4 September . 
","base . North Korea had already begun to build a new airstrip at Hill 312 , which would be used as a staging area for the landing of its missiles . South Korea and the United States had been working together on a plan for a landing site on Hill 313 , but the two sides were unable to agree on what to do with the site . On the morning of 03 :00 , South Korean and U.S. forces arrived on the scene and began to clear the area of enemy forces . By 04 :30 , the North Koreans had advanced to the top of Hill 314 , where they were about to launch a surprise attack .","[""river and the North Koreans ' principal immediate objective . The North Koreans apparently were not aware of the Task Force Manchu group lower down on the hill and it was not attacked during the night . But higher up on Hill 209 the North Koreans drove B Company from its position , inflicting very heavy casualties on it . Sheen led one group of soldiers back to friendly lines on 4 September .""]"
231," At 03 : 00 , 1 September , the 9th Infantry Regiment ordered its only reserve , E Company to move west along the Yongsan @-@ Naktong River road and take a blocking position at the pass between Cloverleaf Hill and Obong @-@ ni Ridge , 3 miles ( 4 @.@ 8 km ) from the river and 6 miles ( 9 @.@ 7 km ) from Yongsan . This was the critical terrain where so much heavy fighting had taken place in the first battle of the Naktong Bulge . Fighting began at the pass at 02 : 30 when an American medium tank of A Company , 72nd Tank Battalion , knocked out a T @-@ 34 at Tugok , also called Morisil . E Company never reached its blocking position . A strong North Korean force surprised and delivered heavy automatic fire on it at 03 : 30 from positions astride the road east of the pass . The company suffered heavy casualties , including the company commander and Keiser 's aide who had accompanied the force . With the critical parts of Cloverleaf Hill and Obong @-@ ni Ridge , the best defensive terrain between Yongsan and the river , the North Koreans controlled the high ground . The US 2nd Infantry Division now had to base its defense of Yongsan on relatively poor defensive terrain , the low hills at the western edge of the town . 
","Road . The tank was hit by a machine gun , but managed to escape with the rest of its crew . At 04 : 20 , a U.S. Army F-16 was sent to escort the tank back to its original position , where it was destroyed by enemy fire . On the way back , however , it encountered a small group of enemy tanks and was forced to abandon the road . By 05 : 10 , all the tanks had been destroyed , and the remaining tanks were destroyed in a firefight that lasted for over an hour . In the following days , as the battle raged on , American and Japanese forces exchanged fire on both sides . During the next two weeks , Japanese and American forces engaged in fierce fighting , with American tanks being the most heavily damaged .","["", also called Morisil . E Company never reached its blocking position . A strong North Korean force surprised and delivered heavy automatic fire on it at 03 : 30 from positions astride the road east of the pass . The company suffered heavy casualties , including the company commander and Keiser 's aide who had accompanied the force . With the critical parts of Cloverleaf Hill and Obong @-@ ni Ridge , the best defensive terrain between Yongsan and the river , the North Koreans controlled the high ground . The US 2nd Infantry Division now had to base its defense of Yongsan on relatively poor defensive terrain , the low hills at the western edge of the town .""]"
232," = = = US 23rd Infantry attacked = = = 
",Airborne Division =,['Infantry attacked = = =']
233," North of the 9th Infantry sector of the 2nd Infantry Division front along the Naktong , the US 23rd Infantry Regiment on August 29 had just relieved the 3rd Battalion of the US 38th Infantry Regiment , which in turn had only a few days before relieved the US 21st Infantry Regiment of the US 24th Infantry Division . On August 1 , the 23rd Regiment was in a new sector of which it had only a limited knowledge . It took over a 16 @,@ 000 yards ( 15 @,@ 000 m ) Naktong River front without its 3rd Battalion which had been attached to the US 1st Cavalry Division to the north . Colonel Paul L. Freeman , the regimental commander , deployed the 1st Battalion on the high ground along the river with the three companies abreast . The 1st Battalion , under US Lieutenant Colonel Claire E. Hutchin , Jr . , outposted the hills with platoons and squads . He placed the 2nd Battalion in a reserve position 8 miles ( 13 km ) behind the 1st Battalion and in a position where it commanded the road net in the regimental sector . On August 31h the 2nd Division moved E Company south to a reserve position in the 9th Infantry sector . 
","Cavalry Regiment . The 3 @-@ 1 @ 000 yard ( 8 @.@000 m) front was under heavy fire from enemy artillery and mortar fire , and was surrounded by heavy machine gun fire . At the same time , it was being attacked by enemy machine guns and artillery fire at a distance of about 1,000 yards from the front .   The enemy had also been able to take advantage of this situation by firing artillery shells at the enemy positions . 
  The 23 @ and@ 2 @000 yard front , however , was still under enemy fire and could not be captured by the American forces , as they had already been captured in the previous battle , so they were forced to retreat to a position on the other side , where they would have to wait for reinforcements to arrive .","['Cavalry Division to the north . Colonel Paul L. Freeman , the regimental commander , deployed the 1st Battalion on the high ground along the river with the three companies abreast . The 1st Battalion , under US Lieutenant Colonel Claire E. Hutchin , Jr . , outposted the hills with platoons and squads . He placed the 2nd Battalion in a reserve position 8 miles ( 13 km ) behind the 1st Battalion and in a position where it commanded the road net in the regimental sector . On August 31h the 2nd Division moved E Company south to a reserve position in the 9th Infantry sector .']"
234," Two roads ran through the regimental sector from the Naktong River to Changnyong . The main road bent south along the east bank of the river to Pugong @-@ ni and then turned northeast to Changnyong . A northern secondary road curved around marshland and lakes , the largest of which was Lake U @-@ p 'o , to Changnyong . In effect , the 1st Battalion of the 23rd Regiment guarded these two approach routes to Changnyong . 
","road followed the road to the south , and a southbound road passed through a small village on the other side . At the end of this road , the village was surrounded by a dense forest , with a large number of trees and shrubs .","[""secondary road curved around marshland and lakes , the largest of which was Lake U @-@ p 'o , to Changnyong . In effect , the 1st Battalion of the 23rd Regiment guarded these two approach routes to Changnyong .""]"
235," The 42 men of the 2nd Platoon , B Company , 23rd Infantry held outpost positions on seven hills covering a 2 @,@ 600 yards ( 2 @,@ 400 m ) front along the east bank of the Naktong north of Pugong @-@ ni . Across the river in the rice paddies they could see , in the afternoon of August 31 , two large groups of North Korean soldiers . Occasionally artillery fire dispersed them . Just before dark , the platoon saw a column of North Koreans come out of the hills and proceed toward the river . They immediately reported to the battalion command post . The artillery forward observer , who estimated the column at 2 @,@ 000 people , thought they were refugees . Freeman immediately ordered the artillery to fire on the column , reducing its number . However the North Koreans continued their advance . 
",", but the North Koreans did not attack them . On the morning of September 1 , the 3rd Battalion , 4th Infantry Division , under the command of Gen. Kim Jong-un , launched a surprise attack on North Korea . The attack was successful , and the South Korean government declared a state of emergency . In the meantime , South Korea and Japan were engaged in a series of joint military exercises with the U.S.-led military alliance , which began on October 1 .","['. Just before dark , the platoon saw a column of North Koreans come out of the hills and proceed toward the river . They immediately reported to the battalion command post . The artillery forward observer , who estimated the column at 2 @,@ 000 people , thought they were refugees . Freeman immediately ordered the artillery to fire on the column , reducing its number . However the North Koreans continued their advance .']"
236," At 21 : 00 the first shells of what proved to be a two @-@ hour North Korean artillery and mortar preparation against the American river positions of 2nd Platoon . As the barrage rolled on , North Korean infantry crossed the river and climbed the hills in the darkness under cover of its fire . At 23 : 00 the barrage lifted and the North Koreans attacked 2nd Platoon , forcing it from the hill after a short fight . Similar assaults took place elsewhere along the battalion outpost line . 
","crest of the hill to the south , where they were met by a barrage of mortars . The North Koreans were forced to retreat back to their positions on the ridge , but were unable to reach them until the next day . By the time they reached the top , however , the enemy had already begun to withdraw .","['hills in the darkness under cover of its fire . At 23 : 00 the barrage lifted and the North Koreans attacked 2nd Platoon , forcing it from the hill after a short fight . Similar assaults took place elsewhere along the battalion outpost line .']"
237," On the regimental left along the main Pugong @-@ ni @-@ Changnyong road North Korean soldiers completely overran C Company by 0300 September 1 . Only seven men of C Company could be accounted for , and three days later , after all the stragglers and those cut off behind North Korean lines had come in , there were only 20 men in the company . As the North Korean attack developed during the night , 1st Battalion succeeded in withdrawing a large part of its force , less C Company , just north of Lake U @-@ p 'o and the hills there covering the northern road into Changnyong , 3 miles ( 4 @.@ 8 km ) east of the river and 5 miles ( 8 @.@ 0 km ) west of the town . B Company lost heavily in this action . 
",", the number of men on the left side of the road increased . By the end of September , North Korea had taken control of most of its forces , with the exception of a small number who had been captured by the South Korean forces . The North Koreans were able to take over the rest of their forces in a few days , but by mid-October , they had lost all their remaining men . On the north side , however , a large force of South Koreans had already been taken over , including a number from the south .","[""during the night , 1st Battalion succeeded in withdrawing a large part of its force , less C Company , just north of Lake U @-@ p 'o and the hills there covering the northern road into Changnyong , 3 miles ( 4 @.@ 8 km ) east of the river and 5 miles ( 8 @.@ 0 km ) west of the town . B Company lost heavily in this action .""]"
238," When word of the disaster that had overtaken 1st Battalion reached regimental headquarters , Freeman obtained the release of G and F Companies from 2nd Division reserve and sent the former to help 1st Battalion and the latter on the southern road toward Pugong @-@ ni and C Company . Major Lloyd K. Jenson , executive officer of the 2nd Battalion , accompanied F Company down the Pugong @-@ ni road . This force was unable to reach C Company , but Jenson collected stragglers from it and seized high ground astride this main approach to Changnyong near Ponch 'o @-@ ri above Lake Sanorho , and went into a defensive position there . The US 2nd Division released E Company to the regiment and the next day it joined F Company to build up what became the main defensive position of the 23d Regiment in front of Changnyong . North Korean troops during the night passed around the right flank of 1st Battalion 's northern blocking position and reached the road three miles behind him near the division artillery positions . The 23rd Infantry Headquarters and Service Companies and other miscellaneous regimental units finally stopped this penetration near the regimental command post 5 miles ( 8 @.@ 0 km ) northwest of Changnyong . 
","was able to secure the road for the next day . Freeman was relieved of his duties and returned to command the 3rd Battalion . He was promoted to commander in charge of 3d Battalion in April 1945 . In June 1945 , he received the rank of lieutenant colonel . On July 1 , the 4th Infantry Division , which had been under the command of Lt. Cmdr. William H. Houghton , was ordered to withdraw from the area . The battalion then moved to the south , where it remained until the end of June . During the course of this action , Lieutenant Colonel Freeman and his company were attacked by enemy machine gun fire and were forced to retreat .","[""went into a defensive position there . The US 2nd Division released E Company to the regiment and the next day it joined F Company to build up what became the main defensive position of the 23d Regiment in front of Changnyong . North Korean troops during the night passed around the right flank of 1st Battalion 's northern blocking position and reached the road three miles behind him near the division artillery positions . The 23rd Infantry Headquarters and Service Companies and other miscellaneous regimental units finally stopped this penetration near the regimental command post 5 miles ( 8 @.@ 0 km ) northwest of Changnyong .""]"
239," = = = US 2nd Division split = = = 
","Lt. William ""Buddy"" Johnson =",['Division split = = =']
240," Before the morning of 1 September had passed , reports coming in to US 2nd Division headquarters made it clear that North Koreans had penetrated to the north @-@ south Changnyong @-@ Yongsan road and cut the division in two ; the 38th and 23d Infantry Regiments with the bulk of the division artillery in the north were separated from the division headquarters and the 9th Infantry Regiment in the south . Keiser decided that this situation made it advisable to control and direct the divided division as two special forces . Accordingly , he placed the division artillery commander , Brigadier General Loyal M. Haynes , in command of the northern group . Haynes ' command post was 7 miles ( 11 km ) north of Changnyong . Task Force Haynes became operational at 10 : 20 , September 1 . Southward , in the Yongsan area , Keiser placed Brigadier General Joseph S. Bradley , Assistant Division Commander , in charge of the 9th Infantry Regiment , the 2nd Engineer Combat Battalion , most of the 72nd Tank Battalion , and other miscellaneous units of the division . This southern grouping was known as Task Force Bradley . 
","in charge of all the divisions and ordered them to move to a position where they could fire on the enemy . The division commander then ordered his division to attack the North Korean positions in order to prevent them from advancing on him . He also ordered the artillery to fire at the South Korean position , which was under the command of General Kim Il-sung , who had been ordered to withdraw from North Korea by General Lee Myung-bak . On the same day , the 3rd Infantry Division was attacked by a large number of South Koreans , including the 1st Battalion , 4th Cavalry Regiment , and a detachment of 7th Armored Division .","["", Brigadier General Loyal M. Haynes , in command of the northern group . Haynes ' command post was 7 miles ( 11 km ) north of Changnyong . Task Force Haynes became operational at 10 : 20 , September 1 . Southward , in the Yongsan area , Keiser placed Brigadier General Joseph S. Bradley , Assistant Division Commander , in charge of the 9th Infantry Regiment , the 2nd Engineer Combat Battalion , most of the 72nd Tank Battalion , and other miscellaneous units of the division . This southern grouping was known as Task Force Bradley .""]"
241," All three regiments of the NK 2nd Division @-@ the 4th , 17th , and 6th , in line from north to south @-@ crossed during the night to the east side of the Naktong River into the 23rd Regiment sector . The NK 2nd Division , concentrated in the Sinban @-@ ni area west of the river , had , in effect , attacked straight east across the river and was trying to seize the two avenues of advance into Changnyong above and below Lake U @-@ p 'o . On August 31 , 1950 , Lake U @-@ p 'o was a large body of water although in most places very shallow . 
","river , was under the command of Lt. Col. Gen. H. R. W. P. S. Kim , who had been appointed by the Korean People's Army to command the 3rd Division at the time of its formation . During the day , the division was commanded by Maj.-Gen. J. A. G. Lee , a former commander of NK 1st Division . On the morning of April 19 , General Kim ordered the formation of a new division , which he called the","[""river , had , in effect , attacked straight east across the river and was trying to seize the two avenues of advance into Changnyong above and below Lake U @-@ p 'o . On August 31 , 1950 , Lake U @-@ p 'o was a large body of water although in most places very shallow .""]"
242," At dawn September 1 , Keiser at 2nd Division headquarters in Muan @-@ ni , 7 miles ( 11 km ) east of Yongsan on the Miryang road , felt his division was in the midst of a crisis . The massive North Korean attack had made deep penetrations everywhere in the division sector except in the north in the zone of the 38th Infantry . The NK 9th Division had effected major crossings of the Naktong at two principal points against the US 9th Infantry ; the NK 2nd Division in the meantime had made three major crossings against the US 23rd Infantry ; and the NK 10th Division had begun crossing more troops in the Hill 409 area near Hyongp 'ung in the US 38th Infantry sector . At 08 : 10 Keiser telephoned Eighth Army headquarters and reported the heaviest and deepest North Korean penetrations were in the 9th Infantry sector . 
","River , and had been able to cross the river from the south to the west . On the morning of September 2 , the North Koreans launched a surprise attack against the 4th and 5th Divisions , which were under the command of Gen. Kim Jong-un , who had ordered the invasion of North Korea . By the time the attack was over , however, it was too late for the 3rd Division to reach the capital of Pyongyang , where it would be attacked by the South Korean forces .","[""at two principal points against the US 9th Infantry ; the NK 2nd Division in the meantime had made three major crossings against the US 23rd Infantry ; and the NK 10th Division had begun crossing more troops in the Hill 409 area near Hyongp 'ung in the US 38th Infantry sector . At 08 : 10 Keiser telephoned Eighth Army headquarters and reported the heaviest and deepest North Korean penetrations were in the 9th Infantry sector .""]"
243," Liaison planes rose from the division strip every hour to observe the North Korean progress and to locate US 2nd Infantry Division front @-@ line units . Communication from division and regimental headquarters to nearly all the forward units was broken . Beginning at 09 : 30 and continuing throughout the rest of the day , the light aviation section of the division artillery located front @-@ line units cut off by the North Koreans , and made fourteen airdrops of ammunition , food , water , and medical supplies . As information slowly built up at division headquarters it became apparent that the North Koreans had punched a hole 6 miles ( 9 @.@ 7 km ) wide and 8 miles ( 13 km ) deep in the middle of the division line and made less severe penetrations elsewhere . The front @-@ line battalions of the US 9th and 23rd Regiments were in various states of disorganization and some companies had virtually disappeared . Keiser hoped he could organize a defense along the Changnyong @-@ Yongsan road east of the Naktong River , and prevent North Korean access to the passes eastward leading to Miryang and Ch 'ongdo . 
","became clear that North Korea was preparing to launch an attack on the United States . On the morning of 10 : 20 , an artillery shell hit the rear of a US 1st Marine Division artillery unit , killing two of its men and wounding three others . The shell landed in a field in the middle of an open field , where it was hit by a rocket fired from a U.S. Army F-16 fighter jet . Within a few hours , a large number of American and South Korean troops had been killed and wounded . By the time the artillery shells reached the front , they had already begun to advance toward the city of Seoul , which was under the control of Kim Jong Un .","[""became apparent that the North Koreans had punched a hole 6 miles ( 9 @.@ 7 km ) wide and 8 miles ( 13 km ) deep in the middle of the division line and made less severe penetrations elsewhere . The front @-@ line battalions of the US 9th and 23rd Regiments were in various states of disorganization and some companies had virtually disappeared . Keiser hoped he could organize a defense along the Changnyong @-@ Yongsan road east of the Naktong River , and prevent North Korean access to the passes eastward leading to Miryang and Ch 'ongdo .""]"
244," = = = Reinforcements = = = 
",""" = ~ =",['Reinforcements = = =']
