,examples,predictions,references
227," By 21 : 00 , the closest front line unit was B Company on top of Hill 209 , 1 mile ( 1 @.@ 6 km ) north of the river road which curved around the hill 's southern base . The regimental chaplain , Captain Lewis B. Sheen , had gone forward in the afternoon to B Company to hold services . On top of Hill 209 , Chaplain Sheen and men in B Company after dark heard splashing in the water below them . They soon discovered a long line of North Korean soldiers wading the river . 
","was on duty at the time , and was assigned to the 2nd Battalion , 4th Infantry Division , which was under the command of Lt. Col. William H. Halsey , commander of 1st Battalion, 3rd Brigade Combat Team . He was promoted to Lieutenant Colonel on 1 : 01 , but was reassigned to 2 : 02 , to which he remained until the end of his service .","['had gone forward in the afternoon to B Company to hold services . On top of Hill 209 , Chaplain Sheen and men in B Company after dark heard splashing in the water below them . They soon discovered a long line of North Korean soldiers wading the river .']"
228," The first North Korean crossing at the Paekchin ferry caught the Heavy Mortar Platoon unprepared in the act of setting up its weapons . It also caught most of the D and H Company men at the base of Hill 209 , .5 miles ( 0 @.@ 80 km ) from the crossing site . The North Koreans killed or captured many of the troops there . Hill was there , but escaped to the rear just before midnight , together with several others , when the division canceled Operation Manchu because of the attacks . The first heavy weapons carrying party was on its way up the hill when the North Korean attack engulfed the men below . It hurried on to the top where the advance group waited and there all hastily dug in on a small perimeter . This group was not attacked during the night . 
","south , where it was captured by the South Korean forces . North Korea also captured a number of prisoners of war , including a few who had been captured in a raid on the ferry . In the end , the North fired a barrage of mortars at South Korea , killing at least one of them , and wounding many more .  The South Koreans retaliated by launching a series of retaliatory air strikes , which resulted in an estimated 1,000 dead and hundreds of wounded , as well as the loss of more than 2,500 tons of food and other supplies . Aftermath","['rear just before midnight , together with several others , when the division canceled Operation Manchu because of the attacks . The first heavy weapons carrying party was on its way up the hill when the North Korean attack engulfed the men below . It hurried on to the top where the advance group waited and there all hastily dug in on a small perimeter . This group was not attacked during the night .']"
229," From 21 : 30 until shortly after midnight the NK 9th Division crossed the Naktong at a number of places and climbed the hills quietly toward the 9th Infantry river line positions . Then , when the artillery barrage preparation lifted , the North Korean infantry were in position to launch their assaults . These began in the northern part of the regimental sector and quickly spread southward . At each crossing site the North Koreans would overwhelm local UN defenders before building pontoon bridges for their vehicles and armor . 
","artillery moved into position on the right bank of the river and began firing at the enemy . The artillery then moved to the left bank , where it continued firing until it reached the top of a hill . At the same time , a large group of enemy infantry moved up the hill and started firing into the air .",['infantry were in position to launch their assaults . These began in the northern part of the regimental sector and quickly spread southward . At each crossing site the North Koreans would overwhelm local UN defenders before building pontoon bridges for their vehicles and armor .']
230," At 02 : 00 , B Company was attacked . A truck stopped at the bottom of the hill , a whistle sounded , then came a shouted order , and North Korean soldiers started climbing the slope . The hills on both sides of B Company were already under attack as was also Hill 311 , a rugged terrain feature a 1 @.@ 5 miles ( 2 @.@ 4 km ) from the river and the North Koreans ' principal immediate objective . The North Koreans apparently were not aware of the Task Force Manchu group lower down on the hill and it was not attacked during the night . But higher up on Hill 209 the North Koreans drove B Company from its position , inflicting very heavy casualties on it . Sheen led one group of soldiers back to friendly lines on 4 September . 
","base . North Korea had already begun to build a new airstrip at Hill 312 , which would be used as a staging area for the landing of its new fighter jets . 


At 03 :00 , the U.S. and South Korean forces launched a surprise attack on the North , but the attack was halted by the arrival of a large number of South Koreans , who had arrived in the area to assist the Americans in their preparations for landing the new aircraft . South Korea and the United States had been engaged in a fierce battle for control of Hill 313 , with the South using their air power to push North Koreans out of their positions and force them to retreat to the south , where they were forced to surrender .","[""river and the North Koreans ' principal immediate objective . The North Koreans apparently were not aware of the Task Force Manchu group lower down on the hill and it was not attacked during the night . But higher up on Hill 209 the North Koreans drove B Company from its position , inflicting very heavy casualties on it . Sheen led one group of soldiers back to friendly lines on 4 September .""]"
231," At 03 : 00 , 1 September , the 9th Infantry Regiment ordered its only reserve , E Company to move west along the Yongsan @-@ Naktong River road and take a blocking position at the pass between Cloverleaf Hill and Obong @-@ ni Ridge , 3 miles ( 4 @.@ 8 km ) from the river and 6 miles ( 9 @.@ 7 km ) from Yongsan . This was the critical terrain where so much heavy fighting had taken place in the first battle of the Naktong Bulge . Fighting began at the pass at 02 : 30 when an American medium tank of A Company , 72nd Tank Battalion , knocked out a T @-@ 34 at Tugok , also called Morisil . E Company never reached its blocking position . A strong North Korean force surprised and delivered heavy automatic fire on it at 03 : 30 from positions astride the road east of the pass . The company suffered heavy casualties , including the company commander and Keiser 's aide who had accompanied the force . With the critical parts of Cloverleaf Hill and Obong @-@ ni Ridge , the best defensive terrain between Yongsan and the river , the North Koreans controlled the high ground . The US 2nd Infantry Division now had to base its defense of Yongsan on relatively poor defensive terrain , the low hills at the western edge of the town . 
","an . The tank was hit by a machine gun , but managed to escape the attack . At 03:00 , a U.S. light cruiser was sent to escort the tank to a position on the road leading to the Pass , where it was attacked by an enemy tank . After a few hours of fighting , both tanks were destroyed , and the American cruiser returned to its original position . On the morning of 10 : 20 , however , another American heavy cruiser attacked the same road , this time at a distance of 1 .5 miles . It was destroyed by fire from enemy machine guns . By 11 : 15 , two American light cruisers had been sunk , one of which was sunk by enemy fire , while the other was damaged in a firefight with the enemy .","["", also called Morisil . E Company never reached its blocking position . A strong North Korean force surprised and delivered heavy automatic fire on it at 03 : 30 from positions astride the road east of the pass . The company suffered heavy casualties , including the company commander and Keiser 's aide who had accompanied the force . With the critical parts of Cloverleaf Hill and Obong @-@ ni Ridge , the best defensive terrain between Yongsan and the river , the North Koreans controlled the high ground . The US 2nd Infantry Division now had to base its defense of Yongsan on relatively poor defensive terrain , the low hills at the western edge of the town .""]"
232," = = = US 23rd Infantry attacked = = = 
",Airborne Division =,['Infantry attacked = = =']
233," North of the 9th Infantry sector of the 2nd Infantry Division front along the Naktong , the US 23rd Infantry Regiment on August 29 had just relieved the 3rd Battalion of the US 38th Infantry Regiment , which in turn had only a few days before relieved the US 21st Infantry Regiment of the US 24th Infantry Division . On August 1 , the 23rd Regiment was in a new sector of which it had only a limited knowledge . It took over a 16 @,@ 000 yards ( 15 @,@ 000 m ) Naktong River front without its 3rd Battalion which had been attached to the US 1st Cavalry Division to the north . Colonel Paul L. Freeman , the regimental commander , deployed the 1st Battalion on the high ground along the river with the three companies abreast . The 1st Battalion , under US Lieutenant Colonel Claire E. Hutchin , Jr . , outposted the hills with platoons and squads . He placed the 2nd Battalion in a reserve position 8 miles ( 13 km ) behind the 1st Battalion and in a position where it commanded the road net in the regimental sector . On August 31h the 2nd Division moved E Company south to a reserve position in the 9th Infantry sector . 
","Cavalry Regiment . The 3 @-@ 1 @ 000 yard ( 2 @.@000 m) Naktsong river front was under heavy fire from enemy artillery and mortar fire , and the battalion was forced to withdraw from the front by heavy machine gun fire . At the same time the 4th Battalion had withdrawn from its position in the river and was now under attack by enemy machine guns .   The battalion then moved to a position on the right bank of a ravine , where it was attacked by a small group of enemy infantry . 
  The enemy then began to fire at the unit from a distance of about 1,000 to 2,500 meters ( 3,200 to 4,400 feet ) , as well as a number of artillery pieces , including mortars , antitank guns , machine-gun shells , mortar rounds , anti-tank mines , rocket launchers , mortar rounds and other heavy ordnance , along with a large amount of ammunition and ammunition depots , ammunition storage","['Cavalry Division to the north . Colonel Paul L. Freeman , the regimental commander , deployed the 1st Battalion on the high ground along the river with the three companies abreast . The 1st Battalion , under US Lieutenant Colonel Claire E. Hutchin , Jr . , outposted the hills with platoons and squads . He placed the 2nd Battalion in a reserve position 8 miles ( 13 km ) behind the 1st Battalion and in a position where it commanded the road net in the regimental sector . On August 31h the 2nd Division moved E Company south to a reserve position in the 9th Infantry sector .']"
234," Two roads ran through the regimental sector from the Naktong River to Changnyong . The main road bent south along the east bank of the river to Pugong @-@ ni and then turned northeast to Changnyong . A northern secondary road curved around marshland and lakes , the largest of which was Lake U @-@ p 'o , to Changnyong . In effect , the 1st Battalion of the 23rd Regiment guarded these two approach routes to Changnyong . 
","road followed this road to the south , and a southbound road turned north to a junction with a road leading south . At the junction , the road intersected with another road on the opposite side . On the other side , there was a small road that led south to an intersection with an old road .","[""secondary road curved around marshland and lakes , the largest of which was Lake U @-@ p 'o , to Changnyong . In effect , the 1st Battalion of the 23rd Regiment guarded these two approach routes to Changnyong .""]"
235," The 42 men of the 2nd Platoon , B Company , 23rd Infantry held outpost positions on seven hills covering a 2 @,@ 600 yards ( 2 @,@ 400 m ) front along the east bank of the Naktong north of Pugong @-@ ni . Across the river in the rice paddies they could see , in the afternoon of August 31 , two large groups of North Korean soldiers . Occasionally artillery fire dispersed them . Just before dark , the platoon saw a column of North Koreans come out of the hills and proceed toward the river . They immediately reported to the battalion command post . The artillery forward observer , who estimated the column at 2 @,@ 000 people , thought they were refugees . Freeman immediately ordered the artillery to fire on the column , reducing its number . However the North Koreans continued their advance . 
",", but the North Koreans did not attack them . On the morning of September 1 , the 3rd Battalion , 4th Infantry Division , which had been assigned to guard the border , was attacked by a small group of South Korean troops . The South Koreans retaliated by firing artillery shells and firing mortars at the group , killing one of them and wounding two others . 


In the days following the attack , North Korea launched a series of retaliatory artillery attacks on the South , including one that killed two South Korea soldiers and wounded three others , and another that destroyed a South Vietnamese military base . North and South Koreas were at war with each other for the first time since the Korean War","['. Just before dark , the platoon saw a column of North Koreans come out of the hills and proceed toward the river . They immediately reported to the battalion command post . The artillery forward observer , who estimated the column at 2 @,@ 000 people , thought they were refugees . Freeman immediately ordered the artillery to fire on the column , reducing its number . However the North Koreans continued their advance .']"
236," At 21 : 00 the first shells of what proved to be a two @-@ hour North Korean artillery and mortar preparation against the American river positions of 2nd Platoon . As the barrage rolled on , North Korean infantry crossed the river and climbed the hills in the darkness under cover of its fire . At 23 : 00 the barrage lifted and the North Koreans attacked 2nd Platoon , forcing it from the hill after a short fight . Similar assaults took place elsewhere along the battalion outpost line . 
","crest of the hill to the south , where they were met by a barrage of mortars and artillery fire . By the time the North Koreans had reached the ridge , the enemy had already begun to advance on the position . North Korea had been able to hold its position for a short time , but by then it was too late .","['hills in the darkness under cover of its fire . At 23 : 00 the barrage lifted and the North Koreans attacked 2nd Platoon , forcing it from the hill after a short fight . Similar assaults took place elsewhere along the battalion outpost line .']"
237," On the regimental left along the main Pugong @-@ ni @-@ Changnyong road North Korean soldiers completely overran C Company by 0300 September 1 . Only seven men of C Company could be accounted for , and three days later , after all the stragglers and those cut off behind North Korean lines had come in , there were only 20 men in the company . As the North Korean attack developed during the night , 1st Battalion succeeded in withdrawing a large part of its force , less C Company , just north of Lake U @-@ p 'o and the hills there covering the northern road into Changnyong , 3 miles ( 4 @.@ 8 km ) east of the river and 5 miles ( 8 @.@ 0 km ) west of the town . B Company lost heavily in this action . 
",", the number of men on the left side of the road increased . By the end of September , North Korea had taken control of most of its forces , with the exception of a small number who had been captured by the South Korean forces . The North Koreans were able to take over the rest of their forces in a few days , but the south Korean troops were unable to do so until late October , when they were forced to withdraw from the area .","[""during the night , 1st Battalion succeeded in withdrawing a large part of its force , less C Company , just north of Lake U @-@ p 'o and the hills there covering the northern road into Changnyong , 3 miles ( 4 @.@ 8 km ) east of the river and 5 miles ( 8 @.@ 0 km ) west of the town . B Company lost heavily in this action .""]"
238," When word of the disaster that had overtaken 1st Battalion reached regimental headquarters , Freeman obtained the release of G and F Companies from 2nd Division reserve and sent the former to help 1st Battalion and the latter on the southern road toward Pugong @-@ ni and C Company . Major Lloyd K. Jenson , executive officer of the 2nd Battalion , accompanied F Company down the Pugong @-@ ni road . This force was unable to reach C Company , but Jenson collected stragglers from it and seized high ground astride this main approach to Changnyong near Ponch 'o @-@ ri above Lake Sanorho , and went into a defensive position there . The US 2nd Division released E Company to the regiment and the next day it joined F Company to build up what became the main defensive position of the 23d Regiment in front of Changnyong . North Korean troops during the night passed around the right flank of 1st Battalion 's northern blocking position and reached the road three miles behind him near the division artillery positions . The 23rd Infantry Headquarters and Service Companies and other miscellaneous regimental units finally stopped this penetration near the regimental command post 5 miles ( 8 @.@ 0 km ) northwest of Changnyong . 
","was able to secure the main road to the south . Freeman was relieved of his duties and returned to his post as commanding officer . He was promoted to lieutenant colonel in the 3rd Battalion . On the morning of April 19 , he received the news that the enemy had been defeated and that he would be relieved from his command . The next day Freeman received a letter from the commanding general of 2d Battalion informing him that his position was under attack from enemy fire . In the letter Freeman wrote : 

Dear General Freeman , I have been informed that your command has been attacked by a large number of enemy troops . I am relieved to inform you that you are under the command of General J. C. Freeman . You have received orders to withdraw from your position and to return to your original position . Your command is under heavy attack and you have not received any orders from me to do so . As a result of this situation , General","[""went into a defensive position there . The US 2nd Division released E Company to the regiment and the next day it joined F Company to build up what became the main defensive position of the 23d Regiment in front of Changnyong . North Korean troops during the night passed around the right flank of 1st Battalion 's northern blocking position and reached the road three miles behind him near the division artillery positions . The 23rd Infantry Headquarters and Service Companies and other miscellaneous regimental units finally stopped this penetration near the regimental command post 5 miles ( 8 @.@ 0 km ) northwest of Changnyong .""]"
239," = = = US 2nd Division split = = = 
","Lt. William H. ""Buck""",['Division split = = =']
240," Before the morning of 1 September had passed , reports coming in to US 2nd Division headquarters made it clear that North Koreans had penetrated to the north @-@ south Changnyong @-@ Yongsan road and cut the division in two ; the 38th and 23d Infantry Regiments with the bulk of the division artillery in the north were separated from the division headquarters and the 9th Infantry Regiment in the south . Keiser decided that this situation made it advisable to control and direct the divided division as two special forces . Accordingly , he placed the division artillery commander , Brigadier General Loyal M. Haynes , in command of the northern group . Haynes ' command post was 7 miles ( 11 km ) north of Changnyong . Task Force Haynes became operational at 10 : 20 , September 1 . Southward , in the Yongsan area , Keiser placed Brigadier General Joseph S. Bradley , Assistant Division Commander , in charge of the 9th Infantry Regiment , the 2nd Engineer Combat Battalion , most of the 72nd Tank Battalion , and other miscellaneous units of the division . This southern grouping was known as Task Force Bradley . 
","in charge of all the divisions and ordered them to move to a position where they could fire on the enemy . The division commander then ordered his men to attack the North Korean positions , which he did . On the same day , the 3rd Infantry Division , under the command of General Kim Jong--il , was ordered to withdraw from North Korea . By the end of September , all divisions had been moved to their original positions . In the following days , a large number of divisions were withdrawn from South Korea , including the 1st and 2d Divisions , as well as the 4th, 5th , and 6th Division . This action marked the beginning of a period of intense fighting between the Korean People's Army (KPA ) and its Japanese counterpart , Japan .","["", Brigadier General Loyal M. Haynes , in command of the northern group . Haynes ' command post was 7 miles ( 11 km ) north of Changnyong . Task Force Haynes became operational at 10 : 20 , September 1 . Southward , in the Yongsan area , Keiser placed Brigadier General Joseph S. Bradley , Assistant Division Commander , in charge of the 9th Infantry Regiment , the 2nd Engineer Combat Battalion , most of the 72nd Tank Battalion , and other miscellaneous units of the division . This southern grouping was known as Task Force Bradley .""]"
241," All three regiments of the NK 2nd Division @-@ the 4th , 17th , and 6th , in line from north to south @-@ crossed during the night to the east side of the Naktong River into the 23rd Regiment sector . The NK 2nd Division , concentrated in the Sinban @-@ ni area west of the river , had , in effect , attacked straight east across the river and was trying to seize the two avenues of advance into Changnyong above and below Lake U @-@ p 'o . On August 31 , 1950 , Lake U @-@ p 'o was a large body of water although in most places very shallow . 
","river , was under the command of Lt. Gen. H. R. G. S. Kim , who had been promoted to commander in chief of NK 1st Division at the end of World War II . During the day , the 3rd Division and the 5th Infantry Division were under General Kim's command .","[""river , had , in effect , attacked straight east across the river and was trying to seize the two avenues of advance into Changnyong above and below Lake U @-@ p 'o . On August 31 , 1950 , Lake U @-@ p 'o was a large body of water although in most places very shallow .""]"
242," At dawn September 1 , Keiser at 2nd Division headquarters in Muan @-@ ni , 7 miles ( 11 km ) east of Yongsan on the Miryang road , felt his division was in the midst of a crisis . The massive North Korean attack had made deep penetrations everywhere in the division sector except in the north in the zone of the 38th Infantry . The NK 9th Division had effected major crossings of the Naktong at two principal points against the US 9th Infantry ; the NK 2nd Division in the meantime had made three major crossings against the US 23rd Infantry ; and the NK 10th Division had begun crossing more troops in the Hill 409 area near Hyongp 'ung in the US 38th Infantry sector . At 08 : 10 Keiser telephoned Eighth Army headquarters and reported the heaviest and deepest North Korean penetrations were in the 9th Infantry sector . 
","River , which had been the main source of water for the entire division since the end of World War II . On the morning of September 2 , the North Koreans launched a series of counterattacks against the South Korean defense forces . By the afternoon , however, the divisions were in a state of panic , and the situation was becoming increasingly difficult for them . At the same time , a large number of South Koreans had fled the area to escape the attack . As a result , on September 3 , North Korea launched its first major counterattack on South Korea . It was the first of its kind in more than a decade .","[""at two principal points against the US 9th Infantry ; the NK 2nd Division in the meantime had made three major crossings against the US 23rd Infantry ; and the NK 10th Division had begun crossing more troops in the Hill 409 area near Hyongp 'ung in the US 38th Infantry sector . At 08 : 10 Keiser telephoned Eighth Army headquarters and reported the heaviest and deepest North Korean penetrations were in the 9th Infantry sector .""]"
243," Liaison planes rose from the division strip every hour to observe the North Korean progress and to locate US 2nd Infantry Division front @-@ line units . Communication from division and regimental headquarters to nearly all the forward units was broken . Beginning at 09 : 30 and continuing throughout the rest of the day , the light aviation section of the division artillery located front @-@ line units cut off by the North Koreans , and made fourteen airdrops of ammunition , food , water , and medical supplies . As information slowly built up at division headquarters it became apparent that the North Koreans had punched a hole 6 miles ( 9 @.@ 7 km ) wide and 8 miles ( 13 km ) deep in the middle of the division line and made less severe penetrations elsewhere . The front @-@ line battalions of the US 9th and 23rd Regiments were in various states of disorganization and some companies had virtually disappeared . Keiser hoped he could organize a defense along the Changnyong @-@ Yongsan road east of the Naktong River , and prevent North Korean access to the passes eastward leading to Miryang and Ch 'ongdo . 
","became clear that North Korea was preparing to launch an attack on the United States . On the morning of 10 : 20 , an artillery barrage was launched against the U.S. position in the vicinity of Kumsusan . The artillery was directed at the north Korean positions , but it was unable to reach them due to the lack of communication between the two sides . At 11 : 15 , a U-boat was sent to intercept the attack . By 12 : 10 , however , communication was lost and communications were lost between North and South Korea . In the afternoon of 13 : 12 , North launched a barrage of artillery and mortar fire on a South Korean position , killing two South Koreans and wounding three others .","[""became apparent that the North Koreans had punched a hole 6 miles ( 9 @.@ 7 km ) wide and 8 miles ( 13 km ) deep in the middle of the division line and made less severe penetrations elsewhere . The front @-@ line battalions of the US 9th and 23rd Regiments were in various states of disorganization and some companies had virtually disappeared . Keiser hoped he could organize a defense along the Changnyong @-@ Yongsan road east of the Naktong River , and prevent North Korean access to the passes eastward leading to Miryang and Ch 'ongdo .""]"
244," = = = Reinforcements = = = 
",@-@ =,['Reinforcements = = =']
245," At 09 : 00 Walker requested the US Air Force to make a maximum effort along the Naktong River from Toksong @-@ dong , just above the US 2nd Division boundary , southward and to a depth of 15 miles ( 24 km ) west of the river . He wanted the Air Force to isolate the battlefield and prevent further North Korean reinforcements and supplies from moving across the river in support of the North Korean spearhead units . The Far East Command requested the US Navy to join in the air effort , and the US Seventh Fleet turned back from its strikes in the Inch 'on @-@ Seoul area and sped southward at full steam toward the southern battle front . Walker came to the US 2nd Division front at 12 : 00 and ordered the division to hold at all costs . He had already ordered ground reinforcements to the Yongsan area . 
",". The request was met with resistance from the South Korean government and the United States military , who were concerned about the possibility of an invasion by North Korea . On 10 : 20 , Walker sent a letter to Secretary of Defense Donald Rumsfeld , asking him to send a delegation to the White House to discuss the situation .  The delegation was to meet with the President and Vice President Pence , as well as Vice Chairman of Joint Chiefs of Staff Gen. Joseph Dunford , and other senior military officials , including the Chief of Naval Operations, Admiral William H. McRaven , Commander of U.S. Naval Forces in the Persian Gulf , Vice Admiral John F. Kelly , Chief Petty Officer 1st Class William E. ""Briggs ,","[""units . The Far East Command requested the US Navy to join in the air effort , and the US Seventh Fleet turned back from its strikes in the Inch 'on @-@ Seoul area and sped southward at full steam toward the southern battle front . Walker came to the US 2nd Division front at 12 : 00 and ordered the division to hold at all costs . He had already ordered ground reinforcements to the Yongsan area .""]"
246," During the morning of 1 September , Walker weighed the news coming in from his southern front , wavering in a decision as to which part of the front most needed his Pusan Perimeter reserves . Since midnight the NK I Corps had broken his Pusan Perimeter in two places @-@ the NK 2nd and 9th Divisions in the US 2nd Division sector , and the NK 7th Division and NK 6th Division in the US 25th Division sector , below the junction of the Nam and Naktong Rivers . In the US 2nd Division sector North Korean troops were at the edge of Yongsan , the gateway to the corridor leading 12 miles ( 19 km ) eastward to Miryang and the main Pusan @-@ Mukden railroad and highway . 
","he had no choice but to withdraw his forces from the area . On the other hand , he did not want to risk the loss of his reserves , so he decided to move to the south , where he would be able to defend his position against the enemy . He had been told by his commanders that he was going to be forced to retreat if he failed to do so , but he refused to give up his reserve , which he felt was the only way to protect himself .","['the NK 7th Division and NK 6th Division in the US 25th Division sector , below the junction of the Nam and Naktong Rivers . In the US 2nd Division sector North Korean troops were at the edge of Yongsan , the gateway to the corridor leading 12 miles ( 19 km ) eastward to Miryang and the main Pusan @-@ Mukden railroad and highway .']"
247," Eighth Army had in reserve three understrength infantry regiments and the 2 @-@ battalion British 27th Infantry Brigade which was not yet completely equipped and ready to be placed in line : The 1st Provisional Marine Brigade at Changwon , 6 miles ( 9 @.@ 7 km ) northeast of Masan , preparing for movement to the port of Pusan ; the US 27th Infantry Regiment of the 25th Division which had arrived at Masan only the night before at 20 : 30 to relieve the 5th Regimental Combat Team , which was then to join the 24th Division in the Taegu area ; and the US 19th Infantry Regiment of the US 24th Infantry Division , then with that division 's headquarters at Kyongsan southeast of Taegu . Walker alerted both the 24th Division headquarters , together with its 19th Regiment , and the 1st Provisional Marine Brigade to move at a moment 's notice ; the 24th Division either to the 2nd or 25th Division fronts , and the marines to an unannounced destination . 
","Combat Team at Chiang Kai-shek , where it had been ordered to move to a position to support the 4th Marine Division . The 3rd Battalion of British Expeditionary Force ( BEMF ) was also sent to Pumong to assist in the movement of troops to and from the ports of Manchuria and Sichuan . In the event of a major attack by the Chinese forces , the BemF would have to withdraw from its position and move back to its original position in order to provide cover for the attack .","[""Combat Team , which was then to join the 24th Division in the Taegu area ; and the US 19th Infantry Regiment of the US 24th Infantry Division , then with that division 's headquarters at Kyongsan southeast of Taegu . Walker alerted both the 24th Division headquarters , together with its 19th Regiment , and the 1st Provisional Marine Brigade to move at a moment 's notice ; the 24th Division either to the 2nd or 25th Division fronts , and the marines to an unannounced destination .""]"
248," As the morning passed , General Walker decided that the situation was most critical in the Naktong Bulge area of the US 2nd Division sector . There the North Koreans threatened Miryang and with it the entire Eighth Army position . At 11 : 00 Walker ordered US Marine Corps Brigadier General Edward A. Craig , commanding the 1st Provisional Marine Brigade , to prepare the marines to move at once . The marines made ready to depart for the Naktong Bulge at 13 : 30 . 
",":00 a.m . , the General ordered the withdrawal of all US forces from the area . The withdrawal was delayed by the presence of a large number of Japanese troops . On the night of 12 April , a Japanese air strike on the Japanese positions at the entrance to the South China Sea ( Sino-Japanese border ) was launched .","[': 00 Walker ordered US Marine Corps Brigadier General Edward A. Craig , commanding the 1st Provisional Marine Brigade , to prepare the marines to move at once . The marines made ready to depart for the Naktong Bulge at 13 : 30 .']"
249," = = = North Korean advance = = = 
",America : =,['Korean advance = = =']
250," The situation on the front was chaotic during the day September 1 . The North Koreans at one place had crossed at the Kihang ferry , captured Agok , and scattered A Company , 9th Infantry at its positions from Agok northward . A Company withdrew to positions on the ridge line back of the river . From there at daylight the men could see North Korean soldiers on many of the ridges surrounding them , most of them moving east . After several hours , 2nd Platoon of A Company sent a patrol down the hill to Agok to obtain supplies abandoned there during the night , returning later with much needed water , rations , and ammunition . 
","least one company was captured by the North Korean forces . On the morning of September 2 , the South Korean Army and the Korean People's Army ( KPA ) were engaged in a fierce battle with the Japanese forces in the vicinity of Kippur . Both sides were forced to retreat to the south , where they were surrounded by Japanese troops . By the time the battle was over , both sides had surrendered .","['daylight the men could see North Korean soldiers on many of the ridges surrounding them , most of them moving east . After several hours , 2nd Platoon of A Company sent a patrol down the hill to Agok to obtain supplies abandoned there during the night , returning later with much needed water , rations , and ammunition .']"
251," Later in the morning North Korean barges crossed the Naktong below A Company . The company sent a squad with a light machine gun to the southern tip of the ridge overlooking Agok to take these troops under fire . When the squad reached the tip of the ridge they saw that a North Korean force occupied houses at its base . The company hit these houses with artillery . The North Koreans broke from the houses , running for the river . At this the light machine gun at the tip of the ridge took them under fire , as did another across the Naktong to the south in the US 25th Infantry Division sector . Proximity fuze artillery fire decimated this group . Combined fire from all weapons inflicted an estimated 300 casualties on this North Korean force . In the afternoon , US aircraft dropped food and ammunition to the company ; only part of it was recovered . The 1st Battalion ordered A Company to withdraw the company that night . 
","gun was fired at the South Korean position . North Korea fired a barrage of mortars and machine guns , but the company was able to hold off the attack . South Korea and the U.S. were forced to withdraw to a position on the other side .  The South Koreans were unable to defend themselves , so the North launched a series of counterattacks on their positions . By the time the troops reached their base , the enemy had been driven back to its original position , and they were now surrounded by a large number of enemy troops . On the way back , however , they found that the base was still under attack by the Japanese , who had taken control of most of its territory . In the ensuing battle , both sides exchanged fire with each other , forcing both to retreat to their respective positions in order to avoid further casualties . During the next few days","['machine gun at the tip of the ridge took them under fire , as did another across the Naktong to the south in the US 25th Infantry Division sector . Proximity fuze artillery fire decimated this group . Combined fire from all weapons inflicted an estimated 300 casualties on this North Korean force . In the afternoon , US aircraft dropped food and ammunition to the company ; only part of it was recovered . The 1st Battalion ordered A Company to withdraw the company that night .']"
252," During the withdraw , however , A Company ran into a sizable North Korean force and had scattered in the ensuing fight . Most of the company , including its commander were killed at close range . In this desperate action , Private First Class Luther H. Story , a weapons squad leader , fought so tenaciously that he was awarded the Medal of Honor . Badly wounded , Story refused to be a burden to those who might escape , and when last seen was still engaging North Korean at close range . Of those in the company , approximately ten men escaped to friendly lines . The next morning , under heavy fog , the group made its way by compass toward Yongsan . From a hill at 12 : 00 , after the fog had lifted , the men looked down on the Battle of Yongsan which was then in progress . That afternoon 20 survivors of the company merged into the lines of the 72nd Tank Battalion near Yongsan . Stragglers from this position continued to stream in the next few days as well . 
","He was captured and executed by the North Koreans . Story was later executed for treason , but his body was never found . The next day , the United States and South Korea signed a memorandum of understanding to end the Korean War , which ended the war in 1953 . North Korea continued to attack the U.S. until the end of World War II , when it was forced to withdraw from the South Korean peninsula . During the 1950s and 1960s , American forces engaged in a series of counterinsurgency operations against the communist regime in South and Central Asia . By the mid-1970s the Soviet Union and China had joined forces to fight the Soviets in Afghanistan , South Vietnam , Cambodia , Laos and Cambodia .","['Of those in the company , approximately ten men escaped to friendly lines . The next morning , under heavy fog , the group made its way by compass toward Yongsan . From a hill at 12 : 00 , after the fog had lifted , the men looked down on the Battle of Yongsan which was then in progress . That afternoon 20 survivors of the company merged into the lines of the 72nd Tank Battalion near Yongsan . Stragglers from this position continued to stream in the next few days as well .']"
253," = = = The end of Task Force Manchu = = = 
",the 19th century marked the beginning of a new era in,['Task Force Manchu = = =']
